id,address,number,postal_code,municipality,province,unique_address,points_coordinates,lat,lng
11625.0,canadalaan,8,8620,nieuwpoort,west-vlaanderen,"canadalaan,8,8620,nieuwpoort,west-vlaanderen","(2.7469688, 51.1286238)",51.1286238,2.7469688
11626.0,s hertogendijk,108,2940,stabroek,antwerpen,"s hertogendijk,108,2940,stabroek,antwerpen","(4.3868219, 51.3276753)",51.3276753,4.3868219
11627.0,ruggeveldlaan,471,2100,deurne,antwerpen,"ruggeveldlaan,471,2100,deurne,antwerpen","(4.481195, 51.2181444)",51.2181444,4.481195
11628.0,rue du tilleul,56,1332,genval,brabant wallon,"rue du tilleul,56,1332,genval,brabant wallon","(4.495405799999999, 50.7234904)",50.7234904,4.495405799999999
11629.0,chaussée de boondael,478,1050,bruxelles,bruxelles-brussel,"chaussée de boondael,478,1050,bruxelles,bruxelles-brussel","(4.3903786, 50.8155736)",50.8155736,4.3903786
11630.0,molenbergstraat,1,2260,westerlo,antwerpen,"molenbergstraat,1,2260,westerlo,antwerpen","(4.9414443, 51.134525)",51.134525,4.9414443
11631.0,poldervlietweg,3,2030,antwerpen,antwerpen,"poldervlietweg,3,2030,antwerpen,antwerpen","(4.368342699999999, 51.30269089999999)",51.30269089999999,4.368342699999999
11632.0,de arend,13,8210,zedelgem,west-vlaanderen,"de arend,13,8210,zedelgem,west-vlaanderen","(3.1648158, 51.1356319)",51.1356319,3.1648158
11633.0,rue des tuilliers,8,4480,hermalle-sous-huy,liège,"rue des tuilliers,8,4480,hermalle-sous-huy,liège","(5.3579096, 50.5597871)",50.5597871,5.3579096
11634.0,antwerpsesteenweg,386,2500,lier,antwerpen,"antwerpsesteenweg,386,2500,lier,antwerpen","(4.533437800000001, 51.1496574)",51.1496574,4.533437800000001
11635.0,ordamstraat,10,2030,antwerpen,antwerpen,"ordamstraat,10,2030,antwerpen,antwerpen","(4.3564003, 51.2890031)",51.2890031,4.3564003
11637.0,steentijdstraat,1286,9130,verrebroek,oost-vlaanderen,"steentijdstraat,1286,9130,verrebroek,oost-vlaanderen","(4.1978588, 51.241559)",51.241559,4.1978588
11638.0,rue de la croix blanine,16,4280,thisnes,liège,"rue de la croix blanine,16,4280,thisnes,liège","(5.1262009, 50.656314)",50.656314,5.1262009
11639.0,rue d avernas,24,4280,hannut,liège,"rue d avernas,24,4280,hannut,liège","(5.076919999999999, 50.6787988)",50.6787988,5.076919999999999
